id,ProductCode,Barcode,Name,Description,UnitPrice,Discount,MinimumPrice,DiscountType,Brand,Category,Notes,Type,Tax1,Tax2,Status,BuyPrice,TrackStock,TrackingType,StockBalance,UnitTemplate,AverageCost,LowStockThershol,ProfitMargin,IsFeatured,IsAvilableOnline,مناسب لـ :-Custom,شكل الإطار-Custom,مادة الإطار-Custom,عرض العدسة-Custom,طول العدسة-Custom,لون العدسة-Custom,مادة العدسة-Custom
﻿8,1,1000000000,"نظارة طبية - Eyeglasses"," ",0," ",0," ","نظارة طبية - Eyeglasses","نظارة طبية"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
9,2,1003020001,"VES D80 0E59 135 - Escada"," ",1100," ",550,1,"اسكادا - Escada","اسكادا - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
10,3,1004010001,"EA 3198 5001 150 - Emporio Armani"," ",890," ",445," ","امبوريو ارماني - Emporio Armani","امبوريو ارماني - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
11,4,1007010004,"B 2377 3001 145 - Burberry"," ",1194," ",597," ","بربري - Burbrry","بربري - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
12,5,1007010005,"B 2378 3002 150 - Burberry"," ",1194," ",597," ","بربري - Burbrry","بربري - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
13,6,1007020001,"B 1371 1109 140 - Burberry"," ",1266," ",633," ","بربري - Burbrry","بربري - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
14,7,1007020002,"B 2376 3001 140 - Burberry"," ",1156," ",578," ","بربري - Burbrry","بربري - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
15,8,1007020003,"B 2376 3002 140 - Burberry"," ",1158," ",579," ","بربري - Burbrry","بربري - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
16,9,1009010004,"PH 2259 5001 150 - Polo Ralph Lauren"," ",840," ",420," ","بولو رالف لورين - Polo Ralph Louren","بولو رالف لورين - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
17,10,1009020002,"RA 7149U 5001 145 - Polo Ralph Lauren"," ",650," ",325,1,"بولو رالف لورين - Polo Ralph Louren","بولو رالف لورين - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0,0,"نساء فقط"," "," "," "," "," "," "
